security,transformer_avg_score,transformer_last_score,buy_ratio,sell_ratio,hold_ratio,total_signals,transformer_momentum
AAF.N0000,0.39223181042406297,0.4079456627368927,0.0,0.5555555555555556,0.4444444444444444,18,Neutral
AAIC.N0000,0.37847003936767576,0.36399126052856445,0.0,0.8,0.2,15,Bearish
ABAN.N0000,0.384787536802746,0.38979917764663696,0.0,0.6190476190476191,0.38095238095238093,21,Bearish
ABL.N0000,0.3870005264878273,0.360489159822464,0.0,0.5,0.5,20,Neutral
ACAP.N0000,0.36251083335706163,0.3386596143245697,0.0,0.9642857142857143,0.03571428571428571,28,Bearish
ACL.N0000,0.3374097731805617,0.36631515622138977,0.0,0.9354838709677419,0.06451612903225806,31,Bearish
ACME.N0000,0.3719303465407828,0.31798532605171204,0.0,0.7391304347826086,0.2608695652173913,23,Bearish
AEL.N0000,0.3648314124771527,0.36838528513908386,0.0,0.8214285714285714,0.17857142857142858,28,Bearish
AFS.N0000,0.37875840755609363,0.3234916031360626,0.0,0.8461538461538461,0.15384615384615385,13,Bearish
AFSL.N0000,0.33985907899008855,0.39776673913002014,0.0,0.9111111111111111,0.08888888888888889,45,Bearish
AGAL.N0000,0.3627354777776278,0.4257339835166931,0.0,0.6923076923076923,0.3076923076923077,26,Bearish
AGPL.N0000,0.3737155224965966,0.3795067071914673,0.0,0.782608695652174,0.21739130434782608,23,Bearish
AGST.N0000,0.3728016849075045,0.32912495732307434,0.0,1.0,0.0,14,Bearish
AGST.X0000,0.3259733233186934,0.3882874846458435,0.0,0.9333333333333333,0.06666666666666667,45,Bearish
AHPL.N0000,0.3556797057390213,0.37174615263938904,0.0,0.8888888888888888,0.1111111111111111,18,Bearish
AHUN.N0000,0.3599734764273574,0.3548230826854706,0.0,0.7804878048780488,0.21951219512195122,41,Bearish
AINS.N0000,0.3485192367524812,0.38664698600769043,0.0,0.9090909090909091,0.09090909090909091,33,Bearish
ALLI.N0000,0.36414656912287074,0.39311525225639343,0.0,0.7916666666666666,0.20833333333333334,24,Bearish
ALUM.N0000,0.3527855021612985,0.35024091601371765,0.0,0.9047619047619048,0.09523809523809523,21,Bearish
