security,regime,signal_kmeans,score_x,model_x,score_y,signal_classifier,model_y,transformer_avg_score,transformer_last_score,buy_ratio,sell_ratio,hold_ratio,total_signals,transformer_momentum,signal_transformer,final_signal
JKL.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.4249434266203778,HOLD,classifier,0.3556267619132995,0.3913977742195129,0.0,1.0,0.0,46,Bearish,SELL,⚖️ HOLD
BALA.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3522839167321432,SELL,classifier,0.3446287363767624,0.3609968423843384,0.0,1.0,0.0,44,Bearish,SELL,🔻 SELL
TILE.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.385304796301172,SELL,classifier,0.351519907007412,0.3603389859199524,0.0,1.0,0.0,49,Bearish,SELL,🔻 SELL
BERU.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.4097179360078803,HOLD,classifier,0.3288106439369065,0.3527916669845581,0.0,1.0,0.0,28,Bearish,SELL,⚖️ HOLD
AGAL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3460641676406553,SELL,classifier,0.3704690351718809,0.3803079426288605,0.0,0.951219512195122,0.048780487804878,41,Bearish,SELL,🔻 SELL
COCO.X0000,🛑 Panic Crash,SELL,,kmeans,0.4067337223919313,HOLD,classifier,0.3791485148317673,0.367605596780777,0.0,0.9117647058823528,0.088235294117647,34,Bearish,SELL,🔻 SELL
HNBF.X0000,🛑 Panic Crash,SELL,,kmeans,0.3273694250461516,SELL,classifier,0.3742023173606757,0.3772378265857696,0.0,1.0,0.0,33,Bearish,SELL,🔻 SELL
TPL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3479770128406362,SELL,classifier,0.330898725738128,0.3703927099704742,0.0,1.0,0.0,48,Bearish,SELL,🔻 SELL
JFP.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3574610595124851,SELL,classifier,0.3355473222380334,0.3320465981960296,0.0,1.0,0.0,44,Bearish,SELL,🔻 SELL
TKYO.X0000,🐳 Whale Accumulation,BUY,,kmeans,0.3490535768869304,SELL,classifier,0.3663322413340211,0.3447718918323517,0.0,0.90625,0.09375,32,Bearish,SELL,🔻 SELL
KGAL.N0000,🛑 Panic Crash,SELL,,kmeans,0.4209724609825755,HOLD,classifier,0.3761789165437221,0.3752146959304809,0.0,0.84375,0.15625,32,Bearish,SELL,🔻 SELL
HASU.N0000,🛑 Panic Crash,SELL,,kmeans,0.3953870940443031,SELL,classifier,0.3433916048034207,0.3787124454975128,0.0,0.967032967032967,0.0329670329670329,91,Bearish,SELL,🔻 SELL
