id,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price
186,"2026-01-13 12:45:56",SFCL.N0000,657,2359,-259.0600,0.0000,17,17,250,1200.000000,1302.000000
187,"2026-01-13 12:45:56",DFCC.N0000,144579,523281,-261.9300,37.2100,59,27,33868,157.000000,157.500000
188,"2026-01-13 12:45:56",CIC.N0000,221098,801112,-262.3300,-0.7600,65,66,77613,37.600000,37.700000
189,"2026-01-13 12:45:56",LHL.N0000,6348,23027,-262.7400,29.0300,20,11,2000,78.100000,81.500000
190,"2026-01-13 12:45:56",EXT.N0000,165970,619294,-273.1400,-20.0000,32,48,68874,7.000000,7.300000
191,"2026-01-13 12:45:56",LUMX.N0000,619127,2337162,-277.4900,1.3200,77,75,259471,6.500000,6.700000
192,"2026-01-13 12:45:56",HAYC.N0000,101217,385131,-280.5000,-40.0000,24,56,20274,118.000000,121.500000
193,"2026-01-13 12:45:56",REXP.N0000,2425,9241,-281.0700,-15.1500,14,19,79,390.000000,395.250000
194,"2026-01-13 12:45:56",VONE.N0000,55218,213556,-286.7500,-10.5900,38,47,8205,104.000000,106.000000
195,"2026-01-13 12:45:56",SIL.N0000,608,2357,-287.6600,3.4500,15,14,325,340.000000,341.000000
196,"2026-01-13 12:45:56",KPHL.N0000,182549,732684,-301.3600,-56.5200,15,54,59854,12.500000,13.000000
197,"2026-01-13 12:45:56",RCL.N0000,263088,1071049,-307.1100,-21.9200,57,89,68863,49.500000,49.500000
198,"2026-01-13 12:45:56",HOPL.N0000,7428,30387,-309.0900,-11.7600,15,19,1073,53.000000,53.100000
199,"2026-01-13 12:45:56",CDB.X0000,6084,24901,-309.2900,10.3400,16,13,2086,281.000000,302.000000
200,"2026-01-13 12:45:56",LPL.X0000,149114,613681,-311.5500,31.6500,52,27,25068,9.500000,10.100000
201,"2026-01-13 12:45:56",NDB.N0000,79801,329102,-312.4000,-10.7700,29,36,18776,147.000000,147.750000
202,"2026-01-13 12:45:56",MBSL.N0000,118234,493863,-317.7000,5.4100,39,35,36035,11.000000,11.200000
203,"2026-01-13 12:45:56",RHL.N0000,75184,317146,-321.8300,-26.3200,14,24,25020,49.000000,52.000000
204,"2026-01-13 12:45:56",SIRA.N0000,536306,2265941,-322.5100,24.6200,81,49,38313,34.800000,35.000000
205,"2026-01-13 12:45:56",AMSL.N0000,40809,176372,-332.1900,-8.3300,22,26,15150,13.200000,13.900000
206,"2026-01-13 12:45:56",CCS.N0000,36382,158762,-336.3800,18.9900,47,32,6084,113.500000,113.500000
207,"2026-01-13 12:45:56",HNBF.X0000,369086,1617001,-338.1100,-8.7700,52,62,152880,7.400000,7.900000
208,"2026-01-13 12:45:56",TKYO.N0000,40115,175838,-338.3300,18.2800,55,38,20741,112.000000,113.000000
209,"2026-01-13 12:45:56",GRAN.N0000,18294,80822,-341.8000,40.4300,33,14,2360,505.000000,509.000000
210,"2026-01-13 12:45:56",LCBF.N0000,1268262,5657750,-346.1000,-7.0800,105,121,536004,8.000000,8.100000
211,"2026-01-13 12:45:56",CLND.N0000,79146,357712,-351.9600,-24.4400,17,28,40000,48.000000,48.200000
212,"2026-01-13 12:45:56",PAP.N0000,204298,928414,-354.4400,-42.5500,27,67,81912,25.000000,25.400000
213,"2026-01-13 12:45:56",TAP.N0000,167690,767375,-357.6200,37.7800,31,14,34597,40.000000,40.900000
214,"2026-01-13 12:45:56",SDF.N0000,30063,137851,-358.5400,14.2900,24,18,5567,42.600000,42.900000
215,"2026-01-13 12:45:56",MHDL.N0000,139331,641252,-360.2400,-6.0200,39,44,34500,6.700000,6.700000
216,"2026-01-13 12:45:56",BRWN.N0000,19865,92856,-367.4400,32.0800,35,18,5435,164.000000,165.000000
217,"2026-01-13 12:45:56",HAYL.N0000,47916,226292,-372.2700,6.8500,39,34,24342,205.000000,206.000000
218,"2026-01-13 12:45:56",SEYB.X0000,67350,318855,-373.4300,15.7900,33,24,16941,78.000000,79.100000
219,"2026-01-13 12:45:56",VPEL.N0000,192518,923156,-379.5200,-3.5100,55,59,76171,15.000000,15.500000
220,"2026-01-13 12:45:56",MELS.N0000,59801,288849,-383.0200,47.0600,50,18,11966,174.000000,174.750000
221,"2026-01-13 12:45:56",CARS.N0000,2285,11059,-383.9800,0.0000,17,17,701,750.000000,751.000000
222,"2026-01-13 12:45:56",SUN.N0000,195760,951929,-386.2700,36.2300,94,44,30022,35.000000,35.200000
223,"2026-01-13 12:45:56",UBC.N0000,187772,935918,-398.4300,21.8400,53,34,58000,14.700000,15.100000
224,"2026-01-13 12:45:56",PALM.N0000,8306,41444,-398.9600,18.7500,19,13,3500,65.100000,70.000000
225,"2026-01-13 12:45:56",SOY.N0000,290,1473,-407.9300,-4.7600,10,11,100,2150.000000,2205.000000
226,"2026-01-13 12:45:56",JKH.N0000,1987690,10376993,-422.0600,-22.8800,182,290,186913,22.000000,22.500000
227,"2026-01-13 12:45:56",DIMO.N0000,2399,12573,-424.0900,9.0900,18,15,105,1997.000000,2000.000000
228,"2026-01-13 12:45:56",ASHO.N0000,214,1132,-428.9700,-24.1400,11,18,13,4015.000000,4015.250000
229,"2026-01-13 12:45:56",EBCR.N0000,26311,139741,-431.1100,11.5400,29,23,17033,68.000000,68.000000
230,"2026-01-13 12:45:56",TSML.N0000,15318,81835,-434.2400,11.1100,20,16,6300,44.100000,47.300000
231,"2026-01-13 12:45:56",LLUB.N0000,55725,303211,-444.1200,29.6700,59,32,7956,188.000000,190.000000
232,"2026-01-13 12:45:56",PLC.N0000,202900,1105807,-445.0000,13.1600,43,33,82020,25.800000,26.000000
233,"2026-01-13 12:45:56",KFP.N0000,2012,10972,-445.3300,-13.3300,13,17,353,166.750000,167.000000
234,"2026-01-13 12:45:56",LGL.X0000,43893,248853,-466.9500,-23.0800,15,24,18928,58.000000,58.300000
235,"2026-01-13 12:45:56",PABC.N0000,116643,672496,-476.5400,17.8100,43,30,14040,61.500000,62.200000
236,"2026-01-13 12:45:56",ALLI.N0000,5697,32971,-478.7400,-2.8600,17,18,2296,376.000000,377.000000
237,"2026-01-13 12:45:56",OFEQ.N0000,348,2048,-488.5100,-16.6700,10,14,100,325.000000,331.000000
238,"2026-01-13 12:45:56",UCAR.N0000,222,1344,-505.4100,21.4300,17,11,61,1395.000000,1410.000000
239,"2026-01-13 12:45:56",AGPL.N0000,118596,719469,-506.6600,-2.7800,35,37,18940,19.000000,19.400000
240,"2026-01-13 12:45:56",ECL.N0000,100139,621856,-520.9900,-18.9200,15,22,27000,15.100000,16.600000
241,"2026-01-13 12:45:56",CALF.N0000,2177,13707,-529.6300,3.2300,16,15,500,91.500000,96.700000
242,"2026-01-13 12:45:56",COMB.N0000,76615,485623,-533.8500,30.0700,93,50,14826,219.000000,219.500000
243,"2026-01-13 12:45:56",SHOT.X0000,27508,176649,-542.1700,-10.5300,17,21,13052,14.200000,14.400000
244,"2026-01-13 12:45:56",BERU.N0000,717192,4667412,-550.7900,-24.0500,60,98,364078,3.600000,3.700000
245,"2026-01-13 12:45:56",PHAR.N0000,4761,31663,-565.0500,6.6700,16,14,2004,139.750000,141.500000
246,"2026-01-13 12:45:56",DIPD.N0000,89421,604975,-576.5500,34.2500,49,24,50016,61.000000,61.900000
247,"2026-01-13 12:45:56",ATL.N0000,113398,790215,-596.8500,-23.4000,18,29,50000,25.300000,26.700000
248,"2026-01-13 12:45:56",AAF.N0000,30295,219261,-623.7500,-24.4400,17,28,11000,53.000000,56.500000
249,"2026-01-13 12:45:56",TILE.N0000,36013,267338,-642.3400,17.8600,33,23,4875,51.000000,51.500000
250,"2026-01-13 12:45:56",LWL.N0000,78060,596188,-663.7600,-7.0400,33,38,11480,54.000000,54.200000
251,"2026-01-13 12:45:56",CTHR.N0000,225,1760,-682.2200,-11.1100,8,10,200,645.000000,650.000000
252,"2026-01-13 12:45:56",ABAN.N0000,544,4336,-697.0600,29.7300,24,13,157,1300.000000,1352.000000
253,"2026-01-13 12:45:56",AHUN.N0000,29935,241887,-708.0400,30.9100,36,19,13753,118.000000,118.500000
254,"2026-01-13 12:45:56",GREG.N0000,3766,31941,-748.1400,2.8600,18,17,770,152.500000,154.500000
255,"2026-01-13 12:45:56",TYRE.N0000,27985,237851,-749.9200,0.0000,22,22,1501,90.000000,92.100000
256,"2026-01-13 12:45:56",LALU.N0000,41218,352300,-754.7200,0.0000,21,21,4845,47.800000,48.400000
257,"2026-01-13 12:45:56",LVEN.N0000,7616,65434,-759.1600,31.0300,19,10,2174,68.000000,68.000000
258,"2026-01-13 12:45:56",STAF.N0000,41691,359571,-762.4700,0.0000,21,21,5496,57.500000,58.500000
259,"2026-01-13 12:45:56",PINS.N0000,19506,168401,-763.3300,9.5200,23,19,25000,30.500000,31.600000
260,"2026-01-13 12:45:56",HNBF.N0000,875771,7737972,-783.5600,-17.2400,108,153,147126,7.400000,8.300000
261,"2026-01-13 12:45:56",WIND.N0000,23691,215535,-809.7800,20.0000,39,26,5432,47.000000,47.400000
262,"2026-01-13 12:45:56",ALUM.N0000,162138,1509164,-830.7900,-12.5000,42,54,67930,20.500000,21.100000
263,"2026-01-13 12:45:56",BOPL.N0000,5573,53207,-854.7300,3.4500,15,14,2030,76.100000,77.100000
264,"2026-01-13 12:45:56",CFI.N0000,898,9141,-917.9300,8.3300,13,11,350,420.000000,436.000000
265,"2026-01-13 12:45:56",REEF.N0000,359199,3777911,-951.7600,-31.0900,41,78,140589,4.000000,4.200000
266,"2026-01-13 12:45:56",TAFL.N0000,3800,40215,-958.2900,-22.5800,12,19,1008,745.000000,750.250000
267,"2026-01-13 12:45:56",AFSL.N0000,3558,38077,-970.1800,-11.1100,12,15,750,73.500000,74.200000
268,"2026-01-13 12:45:56",MEL.N0000,200780,2283418,-1037.2700,-45.4500,33,88,120000,3.800000,4.100000
269,"2026-01-13 12:45:56",AGST.N0000,269790,3144262,-1065.4500,-26.5100,61,105,76100,8.800000,9.100000
